Index,Location,Longitude,Latitude,Date,High,Low,Open,Close,Volume,AdjClose,Return
^GSPC,"New York, USA",-74.011111,40.706944,1/3/2022,4796.640137,4758.169922,4778.140137,4796.560059,2775190000,4796.560059,0.385504014
^GSPC,"New York, USA",-74.011111,40.706944,1/4/2022,4818.620117,4774.27002,4804.509766,4793.540039,3641050000,4793.540039,-0.228321463
^GSPC,"New York, USA",-74.011111,40.706944,1/5/2022,4797.700195,4699.439941,4787.990234,4700.580078,3733540000,4700.580078,-1.825612663
^GSPC,"New York, USA",-74.011111,40.706944,1/6/2022,4725.009766,4671.259766,4693.390137,4696.049805,3371250000,4696.049805,0.056668377
^GSPC,"New York, USA",-74.011111,40.706944,1/7/2022,4707.950195,4662.740234,4697.660156,4677.029785,3279870000,4677.029785,-0.439162696
^GSPC,"New York, USA",-74.011111,40.706944,1/10/2022,4673.02002,4582.240234,4655.339844,4670.290039,3621800000,4670.290039,0.321140787
^GSPC,"New York, USA",-74.011111,40.706944,1/11/2022,4714.129883,4638.27002,4669.140137,4713.069824,3421600000,4713.069824,0.940851757
^GSPC,"New York, USA",-74.011111,40.706944,1/12/2022,4748.830078,4706.709961,4728.589844,4726.350098,3060040000,4726.350098,-0.047366045
^GSPC,"New York, USA",-74.011111,40.706944,1/13/2022,4744.129883,4650.290039,4733.560059,4659.029785,3539830000,4659.029785,-1.574507835
^GSPC,"New York, USA",-74.011111,40.706944,1/14/2022,4665.129883,4614.75,4637.990234,4662.850098,3483530000,4662.850098,0.536005096
^GSPC,"New York, USA",-74.011111,40.706944,1/18/2022,4632.240234,4568.700195,4632.240234,4577.109863,3324960000,4577.109863,-1.190144902
^GSPC,"New York, USA",-74.011111,40.706944,1/19/2022,4611.549805,4530.200195,4588.029785,4532.759766,3387370000,4532.759766,-1.204656935
^GSPC,"New York, USA",-74.011111,40.706944,1/20/2022,4602.109863,4477.950195,4547.350098,4482.72998,3473060000,4482.72998,-1.421049988
^GSPC,"New York, USA",-74.011111,40.706944,1/21/2022,4494.52002,4395.339844,4471.379883,4397.939941,3945810000,4397.939941,-1.642444702
^GSPC,"New York, USA",-74.011111,40.706944,1/24/2022,4417.350098,4222.620117,4356.319824,4410.129883,5172540000,4410.129883,1.235218285
^GSPC,"New York, USA",-74.011111,40.706944,1/25/2022,4411.009766,4287.109863,4366.640137,4356.450195,3989420000,4356.450195,-0.233358868
^GSPC,"New York, USA",-74.011111,40.706944,1/26/2022,4453.22998,4304.799805,4408.430176,4349.930176,4046270000,4349.930176,-1.327002984
^GSPC,"New York, USA",-74.011111,40.706944,1/27/2022,4428.740234,4309.5,4380.580078,4326.509766,4074330000,4326.509766,-1.234318539
^GSPC,"New York, USA",-74.011111,40.706944,1/28/2022,4432.720215,4292.459961,4336.189941,4431.850098,3936030000,4431.850098,2.206087794
^GSPC,"New York, USA",-74.011111,40.706944,1/31/2022,4516.890137,4414.02002,4431.790039,4515.549805,4001950000,4515.549805,1.889975952
^GSPC,"New York, USA",-74.011111,40.706944,2/1/2022,4550.490234,4483.529785,4519.569824,4546.540039,3796450000,4546.540039,0.596742966
^GSPC,"New York, USA",-74.011111,40.706944,2/2/2022,4595.310059,4544.319824,4566.390137,4589.379883,3777170000,4589.379883,0.503455581
^GSPC,"New York, USA",-74.011111,40.706944,2/3/2022,4542.879883,4470.390137,4535.410156,4477.439941,3596830000,4477.439941,-1.278169184
^GSPC,"New York, USA",-74.011111,40.706944,2/4/2022,4539.660156,4451.5,4482.790039,4500.529785,3673700000,4500.529785,0.395730022
^GSPC,"New York, USA",-74.011111,40.706944,2/7/2022,4521.859863,4471.470215,4505.75,4483.870117,3291600000,4483.870117,-0.485599134
^GSPC,"New York, USA",-74.011111,40.706944,2/8/2022,4531.319824,4465.399902,4480.02002,4521.540039,3509330000,4521.540039,0.926781997
^GSPC,"New York, USA",-74.011111,40.706944,2/9/2022,4590.029785,4547,4547,4587.180176,3662810000,4587.180176,0.883663426
^GSPC,"New York, USA",-74.011111,40.706944,2/10/2022,4588.919922,4484.310059,4553.240234,4504.080078,4490500000,4504.080078,-1.079674111
^GSPC,"New York, USA",-74.011111,40.706944,2/11/2022,4526.330078,4401.410156,4506.27002,4418.640137,4164960000,4418.640137,-1.944621219
^GSPC,"New York, USA",-74.011111,40.706944,2/14/2022,4426.220215,4364.839844,4412.609863,4401.669922,3466170000,4401.669922,-0.247924501
^GSPC,"New York, USA",-74.011111,40.706944,2/15/2022,4472.77002,4429.279785,4429.279785,4471.069824,3363200000,4471.069824,0.943495129
^GSPC,"New York, USA",-74.011111,40.706944,2/16/2022,4489.549805,4429.680176,4455.75,4475.009766,3478750000,4475.009766,0.432245211
^GSPC,"New York, USA",-74.011111,40.706944,2/17/2022,4456.060059,4373.810059,4456.060059,4380.259766,3596510000,4380.259766,-1.701060847
^GSPC,"New York, USA",-74.011111,40.706944,2/18/2022,4394.600098,4327.220215,4384.569824,4348.870117,3871340000,4348.870117,-0.814212304
^GSPC,"New York, USA",-74.011111,40.706944,2/22/2022,4362.120117,4267.109863,4332.740234,4304.759766,4007780000,4304.759766,-0.645791497
^GSPC,"New York, USA",-74.011111,40.706944,2/23/2022,4341.509766,4221.509766,4324.930176,4225.5,3814340000,4225.5,-2.299000723
^GSPC,"New York, USA",-74.011111,40.706944,2/24/2022,4294.72998,4114.649902,4155.77002,4288.700195,5070560000,4288.700195,3.198689397
^GSPC,"New York, USA",-74.011111,40.706944,2/25/2022,4385.339844,4286.830078,4298.379883,4384.649902,3941780000,4384.649902,2.007035705
^GSPC,"New York, USA",-74.011111,40.706944,2/28/2022,4388.839844,4315.120117,4354.169922,4373.939941,4594010000,4373.939941,0.454047944
^GSPC,"New York, USA",-74.011111,40.706944,3/1/2022,4378.450195,4279.540039,4363.140137,4306.259766,4679400000,4306.259766,-1.303656752
^GSPC,"New York, USA",-74.011111,40.706944,3/2/2022,4401.47998,4322.560059,4322.560059,4386.540039,4409090000,4386.540039,1.480140915
^GSPC,"New York, USA",-74.011111,40.706944,3/3/2022,4416.779785,4345.560059,4401.310059,4363.490234,4062080000,4363.490234,-0.859285633
^GSPC,"New York, USA",-74.011111,40.706944,3/4/2022,4342.120117,4284.97998,4342.120117,4328.870117,4558250000,4328.870117,-0.305150471
^GSPC,"New York, USA",-74.011111,40.706944,3/7/2022,4327.009766,4199.850098,4327.009766,4201.089844,5506330000,4201.089844,-2.910091005
^GSPC,"New York, USA",-74.011111,40.706944,3/8/2022,4276.939941,4157.870117,4202.660156,4170.700195,6237000000,4170.700195,-0.760469793
^GSPC,"New York, USA",-74.011111,40.706944,3/9/2022,4299.399902,4223.100098,4223.100098,4277.879883,4220180000,4277.879883,1.297146261
^GSPC,"New York, USA",-74.011111,40.706944,3/10/2022,4268.279785,4209.799805,4252.549805,4259.52002,4008690000,4259.52002,0.163906722
^GSPC,"New York, USA",-74.011111,40.706944,3/11/2022,4291.009766,4200.490234,4279.5,4204.310059,3877430000,4204.310059,-1.756979577
^GSPC,"New York, USA",-74.011111,40.706944,3/14/2022,4247.569824,4161.720215,4202.75,4173.109863,4757600000,4173.109863,-0.705255773
^GSPC,"New York, USA",-74.011111,40.706944,3/15/2022,4271.049805,4187.899902,4188.819824,4262.450195,4331170000,4262.450195,1.757783197
^GSPC,"New York, USA",-74.011111,40.706944,3/16/2022,4358.899902,4251.990234,4288.140137,4357.859863,5002240000,4357.859863,1.62587331
^GSPC,"New York, USA",-74.011111,40.706944,3/17/2022,4412.669922,4335.649902,4345.109863,4411.669922,4174170000,4411.669922,1.531838345
^GSPC,"New York, USA",-74.011111,40.706944,3/18/2022,4465.399902,4390.569824,4407.339844,4463.120117,6681510000,4463.120117,1.265622234
^GSPC,"New York, USA",-74.011111,40.706944,3/21/2022,4481.75,4424.299805,4462.399902,4461.180176,3961050000,4461.180176,-0.027333409
^GSPC,"New York, USA",-74.011111,40.706944,3/22/2022,4522,4469.100098,4469.100098,4511.609863,3962880000,4511.609863,0.951192949
^GSPC,"New York, USA",-74.011111,40.706944,3/23/2022,4501.069824,4455.810059,4493.100098,4456.240234,4014360000,4456.240234,-0.820365966
^GSPC,"New York, USA",-74.011111,40.706944,3/24/2022,4520.580078,4465.169922,4469.97998,4520.160156,3573430000,4520.160156,1.122604044
^GSPC,"New York, USA",-74.011111,40.706944,3/25/2022,4546.029785,4501.069824,4522.910156,4543.060059,3577520000,4543.060059,0.445507479
^GSPC,"New York, USA",-74.011111,40.706944,3/28/2022,4575.649902,4517.689941,4541.089844,4575.52002,3696850000,4575.52002,0.758191914
^GSPC,"New York, USA",-74.011111,40.706944,3/29/2022,4637.299805,4589.660156,4602.859863,4631.600098,4239660000,4631.600098,0.624399522
^GSPC,"New York, USA",-74.011111,40.706944,3/30/2022,4627.77002,4581.319824,4624.200195,4602.450195,3665390000,4602.450195,-0.470351609
^GSPC,"New York, USA",-74.011111,40.706944,3/31/2022,4603.069824,4530.410156,4599.02002,4530.410156,3782040000,4530.410156,-1.491836602
^GSPC,"New York, USA",-74.011111,40.706944,4/1/2022,4548.700195,4507.569824,4540.319824,4545.859863,3828290000,4545.859863,0.122018695
^GSPC,"New York, USA",-74.011111,40.706944,4/4/2022,4583.5,4539.209961,4547.970215,4582.640137,3833500000,4582.640137,0.762316382
^GSPC,"New York, USA",-74.011111,40.706944,4/5/2022,4593.450195,4514.169922,4572.450195,4525.120117,3906230000,4525.120117,-1.035114129
^GSPC,"New York, USA",-74.011111,40.706944,4/6/2022,4503.939941,4450.040039,4494.169922,4481.149902,4137080000,4481.149902,-0.289709117
^GSPC,"New York, USA",-74.011111,40.706944,4/7/2022,4521.160156,4450.299805,4474.649902,4500.209961,4054010000,4500.209961,0.571219192
^GSPC,"New York, USA",-74.011111,40.706944,4/8/2022,4520.410156,4474.600098,4494.149902,4488.279785,3453040000,4488.279785,-0.130616849
^GSPC,"New York, USA",-74.011111,40.706944,4/11/2022,4464.350098,4408.379883,4462.640137,4412.529785,3452540000,4412.529785,-1.122885791
^GSPC,"New York, USA",-74.011111,40.706944,4/12/2022,4471,4381.339844,4437.589844,4397.450195,3451990000,4397.450195,-0.904537157
^GSPC,"New York, USA",-74.011111,40.706944,4/13/2022,4453.919922,4392.700195,4394.299805,4446.589844,3273140000,4446.589844,1.189951558
^GSPC,"New York, USA",-74.011111,40.706944,4/14/2022,4460.459961,4390.77002,4449.120117,4392.589844,3634740000,4392.589844,-1.270594444
^GSPC,"New York, USA",-74.011111,40.706944,4/18/2022,4410.310059,4370.299805,4385.629883,4391.689941,3509340000,4391.689941,0.138179878
